CX,CY,CZ,R,P,Y
326.8558,180,49.7816,-0.0348,0,0.9994
328.433,180,49.8304,-0.0269,0,0.9996
330.0103,180,49.8729,-0.0269,0,0.9996
331.5878,180,49.9092,-0.0191,-0,0.9998
333.1655,180,49.9393,-0.0191,-0,0.9998
334.7433,180,49.9631,-0.0112,0,0.9999
336.3211,180,49.9807,-0.0112,0,0.9999
337.8989,180,49.9921,-0.0033,-0,1
339.4769,180,49.9973,-0.0033,0,1
341.0547,180,49.9963,0.0046,-0,1
342.6327,180,49.989,0.0046,-0,1
344.2105,180,49.9755,0.0125,-0,0.9999
345.7883,180,49.9558,0.0125,-0,0.9999
347.366,180,49.9298,0.0204,0,0.9998
348.9437,180,49.8977,0.0204,0,0.9998
350.5212,180,49.8593,0.0283,0,0.9996
352.0984,180,49.8147,0.0283,0,0.9996
353.6755,180,49.7638,0.0362,0,0.9993
355.2524,180,49.7068,0.0362,0,0.9993
356.829,180,49.6435,0.044,0,0.999
358.4054,180,49.574,0.044,0,0.999
359.9815,180,49.4983,0.0519,-0,0.9987
361.5573,180,49.4163,0.0519,-0,0.9987
363.1328,180,49.3282,0.0598,-0,0.9982
364.7079,180,49.2338,0.0598,0,0.9982
366.2827,180,49.1333,0.0677,0,0.9977
367.8569,180,49.0265,0.0677,0,0.9977
369.4308,180,48.9135,0.0755,-0,0.9971
371.0042,180,48.7943,0.0755,0,0.9971
372.5771,180,48.6689,0.0834,-0,0.9965
374.1495,180,48.5372,0.0834,-0,0.9965
375.7214,180,48.3994,0.0913,-0,0.9958
377.2928,180,48.2554,0.0913,-0,0.9958
378.8636,180,48.1052,0.0991,-0,0.9951
380.4337,180,47.9488,0.0991,0,0.9951
382.0032,180,47.7862,0.107,-0,0.9943
383.5721,180,47.6174,0.107,-0,0.9943
385.1402,180,47.4424,0.1148,-0,0.9934
386.7077,180,47.2613,0.1148,0,0.9934
388.2745,180,47.0739,0.1226,0,0.9925
389.8406,180,46.8804,0.1226,0,0.9925
391.4058,180,46.6807,0.1305,0,0.9915
392.9703,180,46.4748,0.1305,0,0.9915
394.5338,180,46.2628,0.1383,0,0.9904
396.0966,180,46.0446,0.1383,0,0.9904
397.6585,180,45.8202,0.1461,0,0.9893
399.2195,180,45.5897,0.1461,0,0.9893
